293550,Paul Freeman
233,Quentin Tarantino
233,Quentin Tarantino
4937,Jamie Foxx
910607,Christoph Waltz
138,Leonardo DiCaprio
4056,Andrew Stanton
4056,Andrew Stanton
230032,Pete Docter
714114,Jim Reardon
123785,Ben Burtt
2264184,Elissa Knight
307531,Jeff Garlin
3697,Florian Henckel von Donnersmarck
3697,Florian Henckel von Donnersmarck
618057,Ulrich Mühe
311476,Martina Gedeck
462407,Sebastian Koch
697,Billy Wilder
102818,Charles Brackett
697,Billy Wilder
551261,D.M. Marshman Jr.
34,William Holden
841797,Gloria Swanson
2233,Erich von Stroheim
40,Stanley Kubrick
40,Stanley Kubrick
932229,Calder Willingham
860292,Jim Thompson
18,Kirk Douglas
576127,Ralph Meeker
579663,Adolphe Menjou
40,Stanley Kubrick
175,Stephen King
40,Stanley Kubrick
424956,Diane Johnson
197,Jack Nicholson
1167,Shelley Duvall
515950,Danny Lloyd
122,Charles Chaplin
122,Charles Chaplin
122,Charles Chaplin
2104,Paulette Goddard
642988,Jack Oakie
697,Billy Wilder
2005,Agatha Christie
697,Billy Wilder
475823,Harry Kurnitz
61,Tyrone Power
17,Marlene Dietrich
1452,Charles Laughton
751577,Anthony Russo
751648,Joe Russo
1321655,Christopher Markus
1321656,Stephen McFeely
498278,Stan Lee
375,Robert Downey Jr.
1165110,Chris Hemsworth
749263,Mark Ruffalo
116,James Cameron
116,James Cameron
318429,David Giler
1353,Walter Hill
244,Sigourney Weaver
299,Michael Biehn
1343,Carrie Henn
5222,Sam Mendes
50332,Alan Ball
228,Kevin Spacey
906,Annette Bening
301,Thora Birch
40,Stanley Kubrick
40,Stanley Kubrick
816143,Terry Southern
313570,Peter George
634,Peter Sellers
1715,George C. Scott
1330,Sterling Hayden
2130108,Bob Persichetti
709056,Peter Ramsey
745247,Rodney Rothman
520488,Phil Lord
745247,Rodney Rothman
4271336,Shameik Moore
2159926,Jake Johnson
2794962,Hailee Steinfeld
634240,Christopher Nolan
634300,Jonathan Nolan
634240,Christopher Nolan
275286,David S. Goyer
288,Christian Bale
362766,Tom Hardy
4266,Anne Hathaway
661791,Park Chan-wook
1628380,Garon Tsuchiya
2057405,Nobuaki Minegishi
661791,Park Chan-wook
158856,Choi Min-sik
949167,Yoo Ji-Tae
1367246,Kang Hye-jeong
680846,Todd Phillips
680846,Todd Phillips
798788,Scott Silver
4170,Bob Kane
1618,Joaquin Phoenix
134,Robert De Niro
5939164,Zazie Beetz
1232,Milos Forman
787323,Peter Shaffer
537004,Zdenek Mahler
719,F. Murray Abraham
1371,Tom Hulce
931,Elizabeth Berridge
154,Mel Gibson
908824,Randall Wallace
154,Mel Gibson
521,Sophie Marceau
1526,Patrick McGoohan
5124,John Lasseter
5124,John Lasseter
230032,Pete Docter
4056,Andrew Stanton
158,Tom Hanks
741,Tim Allen
725543,Don Rickles
881279,Lee Unkrich
2937122,Adrian Molina
881279,Lee Unkrich
441735,Jason Katz
17690,Matthew Aldrich
5645519,Anthony Gonzalez
305558,Gael García Bernal
973,Benjamin Bratt
583,Wolfgang Petersen
583,Wolfgang Petersen
118164,Lothar G. Buchheim
1638,Jürgen Prochnow
344963,Herbert Grönemeyer
921044,Klaus Wennemann
233,Quentin Tarantino
233,Quentin Tarantino
93,Brad Pitt
1208167,Diane Kruger
744834,Eli Roth
594503,Hayao Miyazaki
594503,Hayao Miyazaki
301274,Neil Gaiman
559444,Yôji Matsuda
410942,Yuriko Ishida
849100,Yûko Tanaka
751577,Anthony Russo
751648,Joe Russo
1321655,Christopher Markus
1321656,Stephen McFeely
498278,Stan Lee
375,Robert Downey Jr.
262635,Chris Evans
749263,Mark Ruffalo
1466,Sergio Leone
340580,Harry Grey
73053,Leonardo Benvenuti
207401,Piero De Bernardi
134,Robert De Niro
249,James Woods
1527,Elizabeth McGovern
1814,Gus Van Sant
354,Matt Damon
255,Ben Affleck
245,Robin Williams
354,Matt Damon
255,Ben Affleck
4716,Darren Aronofsky
782968,Hubert Selby Jr.
