353049,Chappelle's Show,8.8,2003,22,1,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
3398228,BoJack Horseman,8.8,2014,25,1,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful... Read all"
214341,Dragon Ball Z,8.8,1989,24,1,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
121220,Dragon Ball Z,8.8,1989,24,1,The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught o... Read all
7660850,Succession,8.8,2018,60,1,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
2442560,Peaky Blinders,8.8,2013,60,1,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
74006,"I, Claudius",8.8,1976,669,2,The history of the Roman Empire as experienced by one of its rulers.
384766,Rome,8.7,2005,52,1,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
121955,South Park,8.7,1997,22,1,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
118421,Oz,8.7,1997,55,1,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
10986410,Ted Lasso,8.8,2020,30,1,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
248654,Six Feet Under,8.7,2001,60,1,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
3718778,Over the Garden Wall,8.8,2014,22,2,Two brothers find themselves lost in a mysterious land and try to find their way home.
388629,One Piece,8.8,1999,24,1,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Pie... Read all"
8111088,The Mandalorian,8.7,2019,40,1,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
367279,Arrested Development,8.7,2003,22,1,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
5753856,Dark,8.7,2017,60,1,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
9432978,Kota Factory,9.1,2019,45,1,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day ... Read all"
4508902,One Punch Man,8.7,2015,24,1,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
1910272,Steins;Gate,8.8,2011,24,1,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
96697,The Simpsons,8.7,1989,22,1,The satiric adventures of a working-class family in the misfit city of Springfield.
412142,House M.D.,8.7,2004,44,1,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
13675832,As If,9.0,2021,30,1,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.
286486,The Shield,8.7,2002,47,1,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.
4574334,Stranger Things,8.7,2016,51,1,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
407362,Battlestar Galactica,8.7,2004,44,1,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fab... Read all"
1606375,Downton Abbey,8.7,2010,58,1,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
5687612,Fleabag,8.7,2016,27,1,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
6741278,Invincible,8.7,2021,50,1,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
1856010,House of Cards,8.7,2013,51,1,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
